COUNTRY,LAT,LONG,INDICATOR,DATE,VALUE,COUNTRY_ISO,DATE_EXTRACT
China,23.3417,113.4244,Active cases,2022-03-15,6040,CHN,2022-03-16 16:01:52+0100
China,23.8298,108.7881,Active cases,2022-03-15,1319,CHN,2022-03-16 16:01:52+0100
China,24.974,101.487,Active cases,2022-03-15,2018,CHN,2022-03-16 16:01:52+0100
China,26.0789,117.9874,Active cases,2022-03-15,1642,CHN,2022-03-16 16:01:52+0100
China,26.8154,106.8748,Active cases,2022-03-15,166,CHN,2022-03-16 16:01:52+0100
China,27.6104,111.7088,Active cases,2022-03-15,1234,CHN,2022-03-16 16:01:52+0100
China,27.614,115.7221,Active cases,2022-03-15,958,CHN,2022-03-16 16:01:52+0100
China,29.1832,120.0934,Active cases,2022-03-15,2452,CHN,2022-03-16 16:01:52+0100
China,30.0572,107.874,Active cases,2022-03-15,657,CHN,2022-03-16 16:01:52+0100
China,30.6171,102.7103,Active cases,2022-03-15,1578,CHN,2022-03-16 16:01:52+0100
China,30.9756,112.2707,Active cases,2022-03-15,63876,CHN,2022-03-16 16:01:52+0100
China,31.202,121.4491,Active cases,2022-03-15,4847,CHN,2022-03-16 16:01:52+0100
China,31.6927,88.0924,Active cases,2022-03-15,1,CHN,2022-03-16 16:01:52+0100
China,31.8257,117.2264,Active cases,2022-03-15,1014,CHN,2022-03-16 16:01:52+0100
China,32.9711,119.455,Active cases,2022-03-15,1960,CHN,2022-03-16 16:01:52+0100
China,33.882,113.614,Active cases,2022-03-15,0,CHN,2022-03-16 16:01:52+0100
China,35.1917,108.8701,Active cases,2022-03-15,3096,CHN,2022-03-16 16:01:52+0100
China,35.7452,95.9956,Active cases,2022-03-15,32,CHN,2022-03-16 16:01:52+0100
China,35.7518,104.2861,Active cases,2022-03-15,558,CHN,2022-03-16 16:01:52+0100
China,36.3427,118.1498,Active cases,2022-03-15,2141,CHN,2022-03-16 16:01:52+0100
China,37.2692,106.1655,Active cases,2022-03-15,122,CHN,2022-03-16 16:01:52+0100
China,37.5777,112.2922,Active cases,2022-03-15,295,CHN,2022-03-16 16:01:52+0100
China,37.8957,114.9042,Active cases,2022-03-15,2689,CHN,2022-03-16 16:01:52+0100
China,39.3054,117.323,Active cases,2022-03-15,1422,CHN,2022-03-16 16:01:52+0100
China,39.549,116.1306,Active cases,2022-03-15,1664,CHN,2022-03-16 16:01:52+0100
China,40.1824,116.4142,Active cases,2022-03-15,1654,CHN,2022-03-16 16:01:52+0100
China,41.1129,85.2401,Active cases,2022-03-15,993,CHN,2022-03-16 16:01:52+0100
China,41.2956,122.6085,Active cases,2022-03-15,1118,CHN,2022-03-16 16:01:52+0100
China,43.6661,126.1923,Active cases,2022-03-15,6651,CHN,2022-03-16 16:01:52+0100
China,44.0935,113.9448,Active cases,2022-03-15,1665,CHN,2022-03-16 16:01:52+0100
China,47.862,127.7615,Active cases,2022-03-15,2130,CHN,2022-03-16 16:01:52+0100
Colombia,4.5709,-74.2973,Active cases,2022-03-15,5938526,COL,2022-03-16 16:01:52+0100
Comoros,-11.6455,43.3333,Active cases,2022-03-15,7909,COM,2022-03-16 16:01:52+0100
Congo (Brazzaville),-0.228,15.8277,Active cases,2022-03-15,23671,COG,2022-03-16 16:01:52+0100
Congo (Kinshasa),-4.0383,21.7587,Active cases,2022-03-15,85040,COD,2022-03-16 16:01:52+0100
Costa Rica,9.7489,-83.7534,Active cases,2022-03-15,818059,CRI,2022-03-16 16:01:52+0100
Cote d'Ivoire,7.54,-5.5471,Active cases,2022-03-15,80820,CIV,2022-03-16 16:01:52+0100
Croatia,45.1,15.2,Active cases,2022-03-15,1059333,HRV,2022-03-16 16:01:52+0100
Cuba,21.521757,-77.781167,Active cases,2022-03-15,1069463,CUB,2022-03-16 16:01:52+0100
Cyprus,35.1264,33.4299,Active cases,2022-03-15,359174,CYP,2022-03-16 16:01:52+0100
Czechia,49.8175,15.473,Active cases,2022-03-15,3657621,CZE,2022-03-16 16:01:52+0100
Denmark,56.2639,9.5018,Active cases,2022-03-15,2963212,DNK,2022-03-16 16:01:52+0100
Denmark,61.8926,-6.9118,Active cases,2022-03-15,34630,DNK,2022-03-16 16:01:52+0100
Denmark,71.7069,-42.6043,Active cases,2022-03-15,11875,DNK,2022-03-16 16:01:52+0100
Djibouti,11.8251,42.5903,Active cases,2022-03-15,15379,DJI,2022-03-16 16:01:52+0100
Dominica,15.415,-61.371,Active cases,2022-03-15,11467,DMA,2022-03-16 16:01:52+0100
Dominican Republic,18.7357,-70.1627,Active cases,2022-03-15,572414,DOM,2022-03-16 16:01:52+0100
Ecuador,-1.8312,-78.1834,Active cases,2022-03-15,814351,ECU,2022-03-16 16:01:52+0100
Egypt,26.820553,30.802498,Active cases,2022-03-15,471096,EGY,2022-03-16 16:01:52+0100
El Salvador,13.7942,-88.8965,Active cases,2022-03-15,152262,SLV,2022-03-16 16:01:52+0100
Equatorial Guinea,1.6508,10.2679,Active cases,2022-03-15,15715,GNQ,2022-03-16 16:01:52+0100
Eritrea,15.1794,39.7823,Active cases,2022-03-15,9619,ERI,2022-03-16 16:01:52+0100
Estonia,58.5953,25.0136,Active cases,2022-03-15,532421,EST,2022-03-16 16:01:52+0100
Eswatini,-26.5225,31.4659,Active cases,2022-03-15,68086,SWZ,2022-03-16 16:01:52+0100
Ethiopia,9.145,40.4897,Active cases,2022-03-15,461805,ETH,2022-03-16 16:01:52+0100
Fiji,-17.7134,178.065,Active cases,2022-03-15,63247,FJI,2022-03-16 16:01:52+0100
Finland,61.92411,25.748151,Active cases,2022-03-15,764501,FIN,2022-03-16 16:01:52+0100
France,-21.1151,55.5364,Active cases,2022-03-15,318006,FRA,2022-03-16 16:01:52+0100
France,-20.904305,165.618042,Active cases,2022-03-15,59320,FRA,2022-03-16 16:01:52+0100
France,-17.6797,149.4068,Active cases,2022-03-15,70181,FRA,2022-03-16 16:01:52+0100
France,-14.2938,-178.1165,Active cases,2022-03-15,447,FRA,2022-03-16 16:01:52+0100
France,-12.8275,45.166244,Active cases,2022-03-15,36558,FRA,2022-03-16 16:01:52+0100
