COUNTRY,LAT,LONG,INDICATOR,DATE,VALUE,COUNTRY_ISO,DATE_EXTRACT
United Kingdom,32.3078,-64.7505,Active cases,2022-03-15,11864,GBR,2022-03-16 16:01:52+0100
United Kingdom,36.1408,-5.3536,Active cases,2022-03-15,15987,GBR,2022-03-16 16:01:52+0100
United Kingdom,49.2138,-2.1358,Active cases,2022-03-15,41519,GBR,2022-03-16 16:01:52+0100
United Kingdom,49.3723,-2.3644,Active cases,2022-03-15,0,GBR,2022-03-16 16:01:52+0100
United Kingdom,49.448196,-2.58949,Active cases,2022-03-15,15599,GBR,2022-03-16 16:01:52+0100
United Kingdom,54.2361,-4.5481,Active cases,2022-03-15,25155,GBR,2022-03-16 16:01:52+0100
United Kingdom,55.3781,-3.436,Active cases,2022-03-15,19657086,GBR,2022-03-16 16:01:52+0100
Uruguay,-32.5228,-55.7658,Active cases,2022-03-15,860172,URY,2022-03-16 16:01:52+0100
Uzbekistan,41.377491,64.585262,Active cases,2022-03-15,235644,UZB,2022-03-16 16:01:52+0100
Vanuatu,-15.3767,166.9592,Active cases,2022-03-15,340,VUT,2022-03-16 16:01:52+0100
Venezuela,6.4238,-66.5897,Active cases,2022-03-15,512801,VEN,2022-03-16 16:01:52+0100
Vietnam,14.058324,108.277199,Active cases,2022-03-15,6511373,VNM,2022-03-16 16:01:52+0100
West Bank and Gaza,31.9522,35.2332,Active cases,2022-03-15,648446,PSE,2022-03-16 16:01:52+0100
Yemen,15.552727,48.516388,Active cases,2022-03-15,9654,YEM,2022-03-16 16:01:52+0100
Zambia,-13.133897,27.849332,Active cases,2022-03-15,311242,ZMB,2022-03-16 16:01:52+0100
Zimbabwe,-19.015438,29.154857,Active cases,2022-03-15,237493,ZWE,2022-03-16 16:01:52+0100
